symbol,adjClose,prev_price,date,persian_date,last_price
سدور,15360.0,15160.0,2020-06-28,1399-04-08,12700
سدور,14620.0,15360.0,2020-06-29,1399-04-09,12700
سدور,15290.0,14620.0,2020-06-30,1399-04-10,12700
سدور,15830.0,15290.0,2020-07-01,1399-04-11,12700
سدور,15920.0,15830.0,2020-07-04,1399-04-14,12700
سدور,15800.0,15920.0,2020-07-05,1399-04-15,12700
سدور,15370.0,15800.0,2020-07-06,1399-04-16,12700
سدور,14620.0,15370.0,2020-07-07,1399-04-17,12700
سدور,13890.0,14620.0,2020-07-08,1399-04-18,12700
سدور,13230.0,13890.0,2020-07-11,1399-04-21,12700
سدور,13680.0,13230.0,2020-07-12,1399-04-22,12700
سدور,13090.0,13680.0,2020-07-13,1399-04-23,12700
سدور,12700.0,13090.0,2020-07-14,1399-04-24,12700
زکوثر,21707.0,,2020-04-05,1399-01-17,39800
زکوثر,22792.0,21707.0,2020-04-06,1399-01-18,39800
زکوثر,23931.0,22792.0,2020-04-07,1399-01-19,39800
زکوثر,25127.0,23931.0,2020-04-08,1399-01-20,39800
زکوثر,26383.0,25127.0,2020-04-11,1399-01-23,39800
زکوثر,27700.0,26383.0,2020-04-12,1399-01-24,39800
زکوثر,27142.0,27700.0,2020-04-13,1399-01-25,39800
زکوثر,25834.0,27142.0,2020-04-14,1399-01-26,39800
زکوثر,25090.0,25834.0,2020-04-15,1399-01-27,39800
زکوثر,26344.0,25090.0,2020-04-18,1399-01-30,39800
زکوثر,25105.0,26344.0,2020-04-19,1399-01-31,39800
زکوثر,25888.0,25105.0,2020-04-20,1399-02-01,39800
زکوثر,26556.0,25888.0,2020-04-21,1399-02-02,39800
زکوثر,27836.0,26556.0,2020-04-22,1399-02-03,39800
زکوثر,29227.0,27836.0,2020-04-25,1399-02-06,39800
زکوثر,30688.0,29227.0,2020-04-26,1399-02-07,39800
زکوثر,31030.0,30688.0,2020-04-27,1399-02-08,39800
زکوثر,32190.0,31030.0,2020-04-28,1399-02-09,39800
زکوثر,33506.0,32190.0,2020-04-29,1399-02-10,39800
زکوثر,35129.0,33506.0,2020-05-02,1399-02-13,39800
زکوثر,36885.0,35129.0,2020-05-03,1399-02-14,39800
زکوثر,35994.0,36885.0,2020-05-04,1399-02-15,39800
زکوثر,34638.0,35994.0,2020-05-05,1399-02-16,39800
زکوثر,32973.0,34638.0,2020-05-06,1399-02-17,39800
زکوثر,33351.0,32973.0,2020-05-09,1399-02-20,39800
زکوثر,32066.0,33351.0,2020-05-10,1399-02-21,39800
زکوثر,30702.0,32066.0,2020-05-11,1399-02-22,39800
زکوثر,29791.0,30702.0,2020-05-12,1399-02-23,39800
زکوثر,30238.0,29791.0,2020-05-13,1399-02-24,39800
زکوثر,29197.0,30238.0,2020-05-16,1399-02-27,39800
زکوثر,30081.0,29197.0,2020-05-17,1399-02-28,39800
زکوثر,31585.0,30081.0,2020-05-18,1399-02-29,39800
زکوثر,33091.0,31585.0,2020-05-19,1399-02-30,39800
زکوثر,32005.0,33091.0,2020-05-20,1399-02-31,39800
زکوثر,30496.0,32005.0,2020-05-23,1399-03-03,39800
زکوثر,28986.0,30496.0,2020-05-26,1399-03-06,39800
زکوثر,28431.0,28986.0,2020-05-27,1399-03-07,39800
زکوثر,29842.0,28431.0,2020-05-30,1399-03-10,39800
زکوثر,28851.0,29842.0,2020-05-31,1399-03-11,39800
زکوثر,29037.0,28851.0,2020-06-01,1399-03-12,39800
زکوثر,30320.0,29037.0,2020-06-02,1399-03-13,39800
زکوثر,31836.0,30320.0,2020-06-06,1399-03-17,39800
زکوثر,33427.0,31836.0,2020-06-07,1399-03-18,39800
زکوثر,34791.0,33427.0,2020-06-08,1399-03-19,39800
زکوثر,36342.0,34791.0,2020-06-09,1399-03-20,39800
زکوثر,38036.0,36342.0,2020-06-10,1399-03-21,39800
زکوثر,39840.0,38036.0,2020-06-13,1399-03-24,39800
زکوثر,40650.0,39840.0,2020-06-14,1399-03-25,39800
زکوثر,42800.0,40650.0,2020-06-22,1399-04-02,39800
زکوثر,43520.0,42800.0,2020-06-23,1399-04-03,39800
زکوثر,43300.0,43520.0,2020-06-27,1399-04-07,39800
زکوثر,41280.0,43300.0,2020-06-28,1399-04-08,39800
زکوثر,40100.0,41280.0,2020-06-29,1399-04-09,39800
زکوثر,42030.0,40100.0,2020-06-30,1399-04-10,39800
زکوثر,42310.0,42030.0,2020-07-01,1399-04-11,39800
زکوثر,40590.0,42310.0,2020-07-04,1399-04-14,39800
زکوثر,40650.0,40590.0,2020-07-05,1399-04-15,39800
زکوثر,42630.0,40650.0,2020-07-06,1399-04-16,39800
زکوثر,41010.0,42630.0,2020-07-07,1399-04-17,39800
زکوثر,39270.0,41010.0,2020-07-08,1399-04-18,39800
